id,poster,title,year,rating,genre,action,adventure,animation,comedy,crime,drama,fantasy,horror,mystery,romance,sci-fi,short,thriller,plot
0,"https://m.media-amazon.com/images/M/MV5BNDM0NDk2Nzc5N15BMl5BanBnXkFtZTcwMDg1NzEzOA@@._V1_UX256,0,256,256_AL_.jpg",Construction,2021,7.4,"comedy, romance",0,0,0,1,0,0,0,0,0,1,0,0,0,"    Vin, Bobby, and Ray, are three blue collar guys, that can't seem to get things to line up in their lives. They had so many dreams when they were 18, but then life seemed to catch up with them, and now they feel stuck in every way. This is a story about men, and the women who make them better."
1,"https://m.media-amazon.com/images/M/MV5BNTgyZDY5ZDMtZmFiZi00ZGI3LWE5NGMtNWU1OWJhZjJmYWIwXkEyXkFqcGdeQXVyMjgxNDIxNjE@._V1_UX256,0,256,256_AL_.jpg",RED,2020,10.0,horror,0,0,0,0,0,0,0,1,0,0,0,0,0,"    Frank (Bruce Willis) is retired, bored, and lonely living off of his government pension in a nondescript suburb in an equally nondescript house. The only joy in Frank's life is his calls to the government pension processing center when he gets to talk to his case worker, Sarah (Mary-Louis Parker). Sarah is as bored and lonely as Frank and marks her conversations with the unknown Frank and her spy novels as the only things fun in her life. When something in Frank's past forces him back into his old line of work and puts an unwitting Sarah in the middle of the intrigue, Frank and Sarah begin a journey into his past and the people with whom he used to work. Like Frank they are all ""R.E.D."" - Retired Extremely Dangerous."
2,"https://m.media-amazon.com/images/M/MV5BNGQzMTA0NDktNTI1MC00YmM2LWE1NjMtOTQ0MzBkNjgzMGNmXkEyXkFqcGdeQXVyODUxMzE2MDM@._V1_UX256,0,256,256_AL_.jpg",Huldra and Photographer,2020,10.0,"short, fantasy, horror",0,0,0,0,0,0,1,1,0,0,0,1,0,    A nature photographer accidentally captures a beautiful but sinister Huldra that is not what she seems.
3,"https://m.media-amazon.com/images/M/MV5BMWE2YzdhNWItYTQwMi00NWRjLWI4ZTAtZjk1Yjk1NGVlZjU4XkEyXkFqcGdeQXVyNDcwNDE0Nzk@._V1_UX256,0,256,256_AL_.jpg",Anti-dirt,2020,10.0,"short, action, comedy",1,0,0,1,0,0,0,0,0,0,0,1,0,"    The main character loves his white shirt, but once it was attacked by gray and dirt. What will the hero do?"
4,"https://m.media-amazon.com/images/M/MV5BOGI0NzI1YjctM2Q5Yi00NTgxLThlYjgtNTI4YjI0NjRhOWE0XkEyXkFqcGdeQXVyOTc2MTgwNjY@._V1_UX256,0,256,256_AL_.jpg",Asalu Em Jarigindhante,2020,10.0,drama,0,0,0,0,0,1,0,0,0,0,0,0,0,"    Vaasu and Saavi had been in deep love since childhood. They had an accident right before they got married. He lost his memory and not aware of what happened to Saavi. After this, Vaasu 's parents sent him to his brother place who lives in Vizag. Saavi lived in Vizag, too, which Vaasu did not know it. Twist and Turn Saavi got engaged to Vivek. Whenever Saavi sees Vaasu, she's behaving differently from there she keeps remembering Vaasu always. Vivek watches Saavi with Vaasu and inquires what is happening?? She gives a reply that she cannot understand what is happening with her. Vivek plans to kill Vaasu but in his every plan fails every time as their is some power around him which keeps saving Vaasu . The rest of story is what power saves Vaasu from Vivek and What was the twist."
5,"https://m.media-amazon.com/images/M/MV5BNDU3YTRhYjQtNWUyMy00ZjE5LTgzZGItMDcwZjU3MWNmMGUzXkEyXkFqcGdeQXVyNzY4NzIyODQ@._V1_UX256,0,256,256_AL_.jpg",The Zone of Twilight,2020,9.9,"action, horror, sci-fi",1,0,0,0,0,0,0,1,0,0,1,0,0,"    The Twilight Zone is a place that exists at any moment of time, of space or of mind....but always when you least expect it. When you find yourself in this realm of unlimited possibility, be careful what you say or do. The right decisions may help you find your way back out....sometimes with greater happiness and wealth. The wrong decisions often lead to madness and death, or an eternity trapped in this dimension. Tread warily past the sign post ahead that says you've entered, The Twilight Zone"
6,"https://m.media-amazon.com/images/M/MV5BZThmOWQ5OGYtOTMwZC00Yjg2LWE2YTMtOTZhYWI1Mjk2MjE4XkEyXkFqcGdeQXVyMjA3MTI4MDc@._V1_UX256,0,256,256_AL_.jpg",Hollywood,2020,9.8,"comedy, crime",0,0,0,1,1,0,0,0,0,0,0,0,0,    A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big - no matter the cost.
7,"https://m.media-amazon.com/images/M/MV5BZWU4Y2I2ZDYtOWY1Yi00ZTBkLWIzNzgtN2M5ZTExZjk3YzYyXkEyXkFqcGdeQXVyMTI5OTY1NzU@._V1_UX256,0,256,256_AL_.jpg",Redemption,2020,9.8,"short, sci-fi, thriller",0,0,0,0,0,0,0,0,0,0,1,1,1,"    Nothing can prepare a man for the horrors of war--and as Joey Smith, a damaged Special Forces deserter and now a homeless drug addict, wanders London's bustling streets in complete anonymity--an unexpected discovery will soon help him get back on his feet. Little by little, as Smith struggles to rebuild his shattered life in a stolen identity as an unstoppable Chinese Mafia enforcer, the brutal death of a dear friend will, inevitably, force him to avenge her murder, dragging him deeper and deeper into a dark world of pain, guilt, and suffering. In the end, do God's plans for redemption include ""Crazy"" Joey, too?"
8,"https://m.media-amazon.com/images/M/MV5BOThkZTY5MWMtYTVmNi00ZTZiLWE5NWUtNGE3MDA0NGU5ZTk2XkEyXkFqcGdeQXVyNDcwNDE0Nzk@._V1_UX256,0,256,256_AL_.jpg",Dead water,2020,9.8,"short, fantasy, thriller",0,0,0,0,0,0,1,0,0,0,0,1,1,"    A relaxing getaway turns deadly for a former marine, who must risk his life to save his wife and best friend from a modern day pirate."
9,"https://m.media-amazon.com/images/M/MV5BNWE1MzEyOTktNTgzMi00ZGRhLTgzZDItZTkzZDUzMWIyMTIyXkEyXkFqcGdeQXVyMzEyNjU0OTM@._V1_UX256,0,256,256_AL_.jpg",In Your Afterglow,2020,9.8,"drama, romance",0,0,0,0,0,1,0,0,0,1,0,0,0,    A tormented psychology professor exploits the gift of a reluctant autistic girl to uncover the mystery of her past life.
